"doi","title","canonical_url","pmid","pmcid","mendeley_uuid","update_date","issued","pdf","html","readers","total","mendeley_class","mendeley_name","mendeley_value","alert_id","level","class_name","message","status","hostname","target_url","alert_source","unresolved","alert_create_date","alert_from","alert_to","alert_val"
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,2,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",153,1624,NA,1793,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",7,17,NA,24,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,0,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,0,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,3,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",0,7,NA,7,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
"10.1371/journal.pcbi.1003759","Bursts and Heavy Tails in Temporal and Sequential Dynamics of Foraging Decisions","http://www.ploscompbiol.org/article/info:doi/10.1371/journal.pcbi.1003759","25122498","4133158","e67e5d4f-3fe4-3ac7-8693-70860a90186c","2014-11-02T23:26:26Z","2014-08-14",NA,NA,NA,0,NA,NA,NA,12891606,"WARN","EventCountDecreasingError","Event count decreased from 9 to 0",NA,"rwc-prod-alm03.int.plos.org",NA,"mendeley",FALSE,"2014-10-28T08:09:37Z",9,0,9
