"prefix","id","level","class_name","article","create_date","target_url","publisher"
"10.1016",59611,"WARN","Net::HTTPRequestTimeOut","10.1016/j.atherosclerosis.2011.06.013","2014-11-18T17:23:50Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21752377/databaseLinks//1/json","Elsevier BV"
"10.3390",59610,"WARN","Net::HTTPRequestTimeOut","10.3390/ph7100990","2014-11-18T17:23:49Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/25341358/databaseLinks//1/json","MDPI AG"
"10.1016",59609,"WARN","Net::HTTPRequestTimeOut","10.1016/j.tetlet.2013.10.031","2014-11-18T17:23:39Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24999287/databaseLinks//1/json","Elsevier BV"
"10.1016",59608,"WARN","Net::HTTPRequestTimeOut","10.1016/j.yhbeh.2011.06.003","2014-11-18T17:23:37Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21689656/databaseLinks//1/json","Elsevier BV"
"10.1016",59607,"WARN","Net::HTTPRequestTimeOut","10.1016/j.jpeds.2012.04.005","2014-11-18T17:23:37Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22622049/databaseLinks//1/json","Elsevier BV"
"10.1100",59606,"WARN","Net::HTTPRequestTimeOut","10.1100/2011/413271","2014-11-18T17:23:37Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22125470/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1371",59605,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002137","2014-11-18T13:01:44Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21829347/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59604,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0038969","2014-11-18T12:55:36Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22720005/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59603,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002137","2014-11-18T12:39:43Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21829347/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59602,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pntd.0001052","2014-11-18T12:38:22Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21629720/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59601,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pntd.0001052","2014-11-18T12:31:22Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21629720/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59600,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0038969","2014-11-18T12:29:08Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22720005/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59599,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002137","2014-11-18T12:28:00Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21829347/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59598,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002179","2014-11-18T11:59:34Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21909256/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59597,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0018370","2014-11-18T11:53:43Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21483695/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1038",59596,"WARN","Net::HTTPRequestTimeOut","10.1038/embor.2012.26","2014-11-18T11:53:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22410831/databaseLinks//1/json","Nature Publishing Group"
"10.1371",59595,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0032214","2014-11-18T11:53:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22396752/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59594,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pntd.0001655","2014-11-18T11:53:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22666510/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59593,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002215","2014-11-18T11:53:41Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21931546/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59592,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0017769","2014-11-18T11:53:41Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21437234/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59591,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0039110","2014-11-18T11:53:41Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22723940/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59493,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pone.0038969","2014-11-18T11:46:55Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22720005/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59492,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002179","2014-11-18T11:41:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21909256/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1186",59491,"WARN","Net::HTTPRequestTimeOut","10.1186/gb-2013-14-6-r66","2014-11-18T11:37:58Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23800085/databaseLinks//1/json","Springer Science + Business Media"
"10.1371",59490,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pntd.0001052","2014-11-18T11:33:22Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21629720/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59489,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.pntd.0001552","2014-11-18T11:32:08Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22389744/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1371",59488,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002137","2014-11-18T11:29:36Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21829347/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1186",59487,"WARN","Net::HTTPRequestTimeOut","10.1186/gb-2013-14-6-r66","2014-11-18T11:20:41Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23800085/databaseLinks//1/json","Springer Science + Business Media"
"10.1371",59486,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002179","2014-11-18T11:13:49Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21909256/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1186",59483,"WARN","Net::HTTPRequestTimeOut","10.1186/gb-2013-14-6-r66","2014-11-18T11:06:34Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23800085/databaseLinks//1/json","Springer Science + Business Media"
"10.1186",59482,"WARN","Net::HTTPRequestTimeOut","10.1186/gb-2013-14-6-r66","2014-11-18T10:49:42Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23800085/databaseLinks//1/json","Springer Science + Business Media"
"10.1186",59481,"WARN","Net::HTTPRequestTimeOut","10.1186/gb-2013-14-6-r66","2014-11-18T10:43:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23800085/databaseLinks//1/json","Springer Science + Business Media"
"10.1371",59480,"WARN","Net::HTTPRequestTimeOut","10.1371/journal.ppat.1002179","2014-11-18T10:41:27Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21909256/databaseLinks//1/json","Public Library of Science (PLoS)"
"10.1155",59478,"WARN","Net::HTTPRequestTimeOut","10.1155/2012/301475","2014-11-18T10:40:22Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22848815/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.3346",59477,"WARN","Net::HTTPRequestTimeOut","10.3346/jkms.2013.28.7.1060","2014-11-18T10:40:21Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/23853490/databaseLinks//1/json","Korean Academy of Medical Sciences (KAMJE)"
"10.1155",59476,"WARN","Net::HTTPRequestTimeOut","10.1155/2011/703031","2014-11-18T10:40:20Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22007137/databaseLinks//1/json","Hindawi Publishing Corporation"
"10.1073",59475,"WARN","Net::HTTPRequestTimeOut","10.1073/pnas.1112660108","2014-11-18T10:40:15Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/21969554/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.1117",59474,"WARN","Net::HTTPRequestTimeOut","10.1117/12.876669","2014-11-18T10:40:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22025936/databaseLinks//1/json","SPIE-Intl Soc Optical Eng"
"10.1073",59473,"WARN","Net::HTTPRequestTimeOut","10.1073/pnas.1108434108","2014-11-18T10:40:14Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/22025724/databaseLinks//1/json","Proceedings of the National Academy of Sciences"
"10.4049",59472,"WARN","Net::HTTPRequestTimeOut","10.4049/jimmunol.1400822","2014-11-18T10:40:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/25143442/databaseLinks//1/json","The American Association of Immunologists"
"10.1186",59471,"WARN","Net::HTTPRequestTimeOut","10.1186/1472-6963-13-511","2014-11-18T10:40:13Z","http://www.ebi.ac.uk/europepmc/webservices/rest/MED/24325730/databaseLinks//1/json","Springer Science + Business Media"
