"id","level","class_name","article","status","source","create_date","target_url"
58329,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-27T18:33:46Z","http://144.76.226.211:5984/alm/datacite:10.1002%2Fanie.201305975"
58328,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-27T17:23:58Z","http://144.76.226.211:5984/alm/datacite:10.1007%2Fs10530-011-9946-5"
57703,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-26T12:50:07Z","http://144.76.226.211:5984/alm/datacite:10.1039%2Fc2dt31831h"
57700,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-25T16:40:51Z","http://144.76.226.211:5984/alm/datacite:10.1016%2Fj.ejmech.2011.01.041"
57699,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-25T16:40:19Z","http://144.76.226.211:5984/alm/datacite:10.7717%2Fpeerj.90"
57698,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-25T02:07:39Z","http://144.76.226.211:5984/alm/datacite:10.1007%2Fs12526-011-0098-8"
57697,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-25T01:45:47Z","http://144.76.226.211:5984/alm/datacite:10.1039%2Fc3ra40582f"
57694,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-24T18:39:21Z","http://144.76.226.211:5984/alm/datacite:10.1021%2Fol300400x"
57690,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-24T15:53:10Z","http://144.76.226.211:5984/alm/datacite:10.1016%2Fj.saa.2010.09.009"
57689,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-24T15:51:12Z","http://144.76.226.211:5984/alm/datacite:10.1016%2Fj.phytochem.2011.12.006"
57688,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-24T06:39:44Z","http://144.76.226.211:5984/alm/datacite:10.1107%2Fs0108270111040844"
57687,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-24T06:39:42Z","http://144.76.226.211:5984/alm/datacite:10.1107%2Fs1600536811019131"
57686,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-24T06:39:02Z","http://144.76.226.211:5984/alm/datacite:10.1107%2Fs1600536811014395"
57684,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T22:55:20Z","http://144.76.226.211:5984/alm/datacite:10.1016%2Fj.molstruc.2011.12.029"
57683,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T18:26:34Z","http://144.76.226.211:5984/alm/datacite:10.1021%2Fcg200860p"
57682,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T18:25:17Z","http://144.76.226.211:5984/alm/datacite:10.1002%2Fanie.201108428"
57681,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T16:43:16Z","http://144.76.226.211:5984/alm/datacite:10.1666%2F10047.1"
57680,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T15:39:18Z","http://144.76.226.211:5984/alm/datacite:10.1039%2Fc1dt11564b"
57679,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T15:38:46Z","http://144.76.226.211:5984/alm/datacite:10.1002%2Fcmdc.201100432"
57678,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T15:38:32Z","http://144.76.226.211:5984/alm/datacite:10.1039%2Fc1cc15574a"
57677,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T15:32:46Z","http://144.76.226.211:5984/alm/datacite:10.1039%2Fc2dt11992g"
57676,"ERROR","Net::HTTPConflict",NA,409,"datacite","2014-10-23T07:29:20Z","http://144.76.226.211:5984/alm/datacite:10.1021%2Fjo2017668"
